,image_link,group_id,entity_name,entity_value,tessaract_values,easyocr_values
0,https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,100%NATUR,"PROPOS'NATUREJINGREDIENTMENAGERMULTI-USAGETERREdESOMMIERES100%NATURELArgile10036pureetnaturelleLerreSommierespresentedesproprietesabsorbantesquipermettentnelloyagesecdeslachesrecalcitrantesSurtouteslessurfaces(moquette;tapis;parquel_-Elleestaussiefficacedesodoriserlelinge:IngredientBentoniteDosageconseilleSclonusage.[AanLunponpacelfenccetl{I0tinunEi4ArecoudongRtiu60Lnfonr0o@500g2u50u2irimulLABORATOIREFROPOSNATUREUCUGRLDeC.[uacoJiJHH4E04e+raaly'Mp""0pr-nJincon780103Pour'Pnz"
1,https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,GEPRAGTESDesignedinLIZENZIERTEUNDGESCHUTZTEDESIGNS,LLaeelE=_62RRRIFICHLEBENSMITTELECHTCwwvDAVGEPRAGTESDESIGNAsYQULIKEBESTDesignedinVVv'cakeAY[Bexlin]LIZENZIERTEUNDGESCHITZTEDESIGNSTEAWITHcockics
2,https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"ServingSize:1Tablet(0.709g)|Eachservingcontains(Approx.Values):IngredientQty./Serving*PHOSPHOcomplex®Silybin(Sillybummarianum)200mgDandelion(Taraxacumofficinale)leafextract-10:1100mgKutki(Picrorhizakurroa)rhizomeextract-0.5%Bitters50mgKasani(Cichoriumintybus)seedextract-1%Bitters25mgPunarnava(Boerhaviadiffusa)rootextract-0.077alkaloids25mgBhuiamla(Phyllanthusamarus)WPextract-0.57Bitters25mgAmla(Phyllanthusemblica)fruitextract-10%Tannins25mgLicorice(Glycyrrhizaglabra)rootextract-57%Glycyrrhizin25mygVitaminE10mgPipernigrumfruitextract—957Piperine5mygNutrientsQty./ServingEnergy3.04kealCarbohydrate051g(Sugars)0.2gProtein004gFat0.09g""/RDAvaluesestablishedasperICMR2010forsedentarylifestyle-Men.**1,RDAnotestahlishedbyICMR","COMPOSITIONServingSize:Tablet(0.709g)Eachservingcontains(ApproxValues):IngredientQty/Serving90ROA##PHOSPHOcomplex@Silybin(Sillybummarianum)200mgDandelion(Taraxacumofficinale)leafextract10.1100mgKutki(Picrorhizakurroalrhizomeextract0.5%Bitters50mgKasani(Cichoriumintybus)seedextract-1%Bitters25mgPunarnava(Boerhaviadiffusa)rootextract0.07%alkaloids25mg#Bhuiamla(Phyllanthusamarus)WPextract-0.57Bitters25mgAmla(Phyllanthusemblica)fruitextract-10%Tannins25mgLicorice(Glycyrrhizaglabra)rootextract5kGlycyrrhizin25mgVitaminE10mg100Pipernigrumfruitextract_95%Piperine5mgNUTRITIONALINFORMATIONPERSERVING(ApprOx.VALUES):NutrientsOty:/Serving%RDA""Energy3.04kcal0.13Carbohydrate0.51g(Sugars)0.2gProtein0.04g0.07Fat0.09g""YRDAvaluesestablishedasperICMR2010forsedentarylifestyle-Men#*%RDAnotestablishedbyICMR"
3,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,,3311IIIW!#583313111H0L1W#I11HuIM1HH1V1JHlU0HIHJ11H1Hlh1Helu1#1111HH101
4,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,HIGHSTRENGTHPSYLLIUMHUSK,Horbaach'HIGHStRENGTHPSYLLIUMHUSKPLANTAGOOVATA1400mGPLANTSEEDSFOOD365VEGANSUPPLEMENTCAPSULES
5,https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,*Naturally-SourcedPsyllium—_—«Highstrength1400mgperservingﬁPLANTAGQ0PLANTsggpv‘365vecan)|_«SuitableforVegans&Vegetarians_—Horbaach,"774Naturally-SourcedPsylliumHIGHHighstrength140OmgperservingSuitableforVegans&VegetariansHOrbaach""HorbaachStRENGThPSYLLIUMHUSK1400mGPLANTAGO'OVATAPLANTSEEDSFOOdSUPPLEMENT365VEGANCAPSULES"
6,https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"Directions:Foradults,taketwo(2)vegancapsulesdaily,preferablywithameal.Donotexceedstateddose.NutritionInformationTypicallyPerDailyDoseHIGHSTReRSSPsylliumHuskPowder1400mg-PSYLLIUMHUSKPLANTAGOOVATAPLANTSEEDSIngredients:PsylliumHuskPowder,CapsuleShell(Hy-droxypropylmethylcellulose),Anti-CakingAgents(Mag-nesiumSaltsofFattyAcids,SiliconDioxide).MaycontainSesameSeeds&Mustard.Forallergens,seetheingredientsinbold.Notice:Takethisproductwith220mloffluids.Takingthisproductwithoutadequatefluidmaycausethepos-sibilityofchoking.Donotusethisproductifyouhavedifficultyswallowing.Ifyouexperiencechestpain,vom-itingordifficultyinswallowingorbreathingaftertakingthisproduct,seekimmediatemedicalattention.Donottakebeforesleeping.Fibreproductscanaffecttheab-sorptionofmanymedications.Donottakethisproductwithin1.5hoursoftakingmedication.FreeFrom:ArtificialColour,ArtificialFlavour,ArtificialSweetener,Preservatives.SUITABLEFORVEGETARIANS&VEGANSHU16790C36\CIEP(SBU'?E';IHorbaach","HOrbaachDirections:Foradults,taketwo(2)vegancapsulesdaily,preferablywithameal.DonotexceedstateddoseNutritionInformationHIGHStRENGTHTypicallyPerDailyDosePsylliumHuskPowder1400mgPSYLLIUM'Ingredients:PsylliumHuskPowder,CapsuleShell(Hy-droxypropylmethylcellulose),Anti-CakingAgents(Mag-nesiumSaltsofFattyAcids,SiliconDioxide):MaycontainSesameSeeds&Mustard:Forallergens,HUSKseetheingredientsinbold:Notice:Takethisproductwith22OmloffluidsTakingthisproductwithoutadequatefluidcausethepOS-PLANTAGOOVATAsibilityofchoking:Donotusethisproductifyouhave140OmGdifficultyswallowing:Ifyouexperiencechestpain,vom-PLANTSEEDSitingordifficultyinswallowingorbreathingaftertakingthisproduct;seekimmediatemedicalattention.Donottakebeforesleeping:Fibreproductscanaffecttheab-sorptionofmanymedications.Donottakethisproductwithin1.5hoursoftakingmedication.FreeFrom:ArtificialColour,ArtificialFlavour,ArtificialSweetener,Preservatives:FOODVEGANSUPPLEMENT365CAPSULESSUITABLEFORVEGETARIANS&VEGANSHu16790€HOcbaAChmay"
7,https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,"O,VEGAN@WHEATFREESOYPgi(‘LL\UM@@\DAIRY365CAPSUL\""-S“‘,i%FREEFROMPRESERVATIVESHorbaach",VEGANWHEATFREEsoyFREEOVATADAIRYFREEFREEFROMPRESERVATIVESHOrBaaChHorbaachStRENGThHIGHPSYLLIUMHUSKPLANTAGO=SEEDSPLANT=140OmGVEGAN365CAPSULESFOODSUPPLEMENT
8,https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,"Horbaach100%HIGHESTQUALITYHIGHSTRENG}'{"";pSYLLIUMHUSKPLANTAGOOVATAPLANTSEEDS\\‘Horbaach",HorbaachV100%HIGHESTQUALITYTOSTRENGTHGMP)HUskOVATA140OmGSEEDSVEGANFOOD365HOcbZachHorbaach'GMP(HIGHPSYLLIUMANUFACTURSSIN4SPLANTAGO5ANUFACTUROPLANT4INCAPSULESSUPPLEMENT
9,https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEWLOOK.SAMETRUSTEDQUALITY.WS4PSYLLIUMSSSSSSSSSL\N/FOODEEEEEEEEEEEEEEEEEE3365VEGAN-QOIcarsuLES-Horbaach,NEWLOOKSAMETRUSTEDQUALITYOLDHorbaachNEWHorbaach'HIGhSTRENGTHPSYLLIUMhiGHStRENGThHUSKPSYLLIUMI4OOMGpervingHUSKPLANTAGOOVATA1400mGPLANTSEEDSFOODVEGANSUPPLEMENT365CAPSULESFOop365VEGANSUPPLEMENTCAPSULESPACKAGINGMAYVARYHOcbaach
